Country,code,fuel,volatility,cv,big_jumps_pct,mean_price,n_months,group,region
Algeria,DZA,Diesel,0.04563518684925851,0.08704606965249126,0.02702702702702703,0.2003135713384534,112,Regulated,MENA
Angola,AGO,Diesel,0.08580679835699469,0.5867776254255535,0.09009009009009009,0.41023933381378225,112,Regulated,SSA
Argentina,ARG,Diesel,0.2688217311114606,0.3075525696931202,0.1388888888888889,1.069112483265542,109,Other,LAC
Australia,AUS,Diesel,0.054296536358534535,0.19691740090327742,0.08108108108108109,1.0011011041071196,112,Deregulated,EAP
Austria,AUT,Diesel,0.03932158898661601,0.18376983566469754,0.018018018018018018,1.4753950957251245,112,Deregulated,ECA
Azerbaijan,AZE,Diesel,0.04361828726428064,0.10005043340287376,0.02702702702702703,0.46934849020092695,112,Regulated,ECA
Bahrain,BHR,Diesel,0.018328617097797716,0.09919388735615992,0.018518518518518517,0.4465666276800518,109,Regulated,MENA
Bangladesh,BGD,Diesel,0.045637942437000166,0.11753164732149426,0.01818181818181818,0.8713491332939435,111,Regulated,SA
Barbados,BRB,Diesel,0.043035193266811565,0.1565525474006032,0.052083333333333336,1.5553001638913373,97,Regulated,LAC
Belgium,BEL,Diesel,0.034692752029348364,0.15535586938146204,0.0,1.6612113701740707,112,Regulated,ECA
Belize,BLZ,Diesel,0.04994041176745639,0.1707268244948916,0.02857142857142857,1.3897228034702387,106,Regulated,LAC
Benin,BEN,Diesel,0.06147382389337193,0.11987412178765738,0.08333333333333333,0.9862077915749721,61,Regulated,SSA
Bolivia,BOL,Diesel,0.0014872368329177227,0.0019001340865667385,0.0,0.5386569251262046,112,Regulated,LAC
Bosnia and Herzegovina,BIH,Diesel,0.03332010697468701,0.15767840987888168,0.0,1.3157665161440337,108,Deregulated,ECA
Botswana,BWA,Diesel,0.06003490959130903,0.21224112260769026,0.15873015873015872,1.0475622760728762,64,Regulated,SSA
Brazil,BRA,Diesel,0.05125472303035426,0.18968309989681365,0.05504587155963303,0.9764385637012708,110,Other,LAC
Bulgaria,BGR,Diesel,0.03564036804801561,0.15441848002541322,0.018018018018018018,1.289476107792092,112,Deregulated,ECA
Burkina Faso,BFA,Diesel,0.02761294950395462,0.078248096222529,0.018518518518518517,0.9907592815984017,109,Regulated,SSA
Cabo Verde,CPV,Diesel,0.057321925823855834,0.19077856005649024,0.06521739130434782,1.090145973340324,93,Regulated,SSA
Cambodia,KHM,Diesel,0.07420593722447241,0.14556142473163428,0.1951219512195122,1.0817668650793653,42,Regulated,EAP
Cameroon,CMR,Diesel,0.032029097170138736,0.12176548521672534,0.018518518518518517,1.0491790535938046,109,Regulated,SSA
Canada,CAN,Diesel,0.05083737180716851,0.23613416122870248,0.07692307692307693,1.0646975057999162,105,Deregulated,N. AMERICA
Cayman Islands,CYM,Diesel,0.03047925680733089,0.1625496846047323,0.011627906976744186,1.3077493574654295,87,Deregulated,LAC
Central African Republic,CAF,Diesel,0.07538460598375848,0.2143961974114826,0.01020408163265306,1.6825144562543586,99,Regulated,SSA
Chile,CHL,Diesel,0.04365900173970407,0.22700830021707788,0.018018018018018018,0.8988009588386735,112,Deregulated,LAC
China,CHN,Diesel,0.03981350634263898,0.13146428816021,0.01904761904761905,0.9862766157244058,106,Regulated,EAP
Colombia,COL,Diesel,0.036865495040295106,0.11105663447963482,0.009009009009009009,0.6513229329694025,112,Regulated,LAC
"Congo, Rep.",COG,Diesel,0.01547374274831795,0.27209992479030737,0.0,0.30050699157668287,89,Regulated,SSA
Cote d'Ivoire,CIV,Diesel,0.02107204235306102,0.06582103174306886,0.0,1.0672767142810395,96,Regulated,SSA
Croatia,HRV,Diesel,0.03604513521905268,0.14156614775649992,0.018018018018018018,1.5250796983221893,112,Regulated,ECA
Netherlands Antilles,ANT,Diesel,0.0580299965782626,0.2498099055077048,0.05405405405405406,0.861177570966879,112,,
Cyprus,CYP,Diesel,0.03474708772269361,0.13231539386503713,0.018018018018018018,1.4944880237720437,112,Deregulated,ECA
Czech Republic,CZE,Diesel,0.041194784671019884,0.15935368330357896,0.02702702702702703,1.4355765239835685,112,Deregulated,ECA
Denmark,DNK,Diesel,0.04202097896638343,0.15735431406830006,0.02702702702702703,1.6421258245177721,112,Deregulated,ECA
Dominican Republic,DOM,Diesel,0.23663772559357632,0.21798369495561198,0.05555555555555555,0.9222194039179606,109,Regulated,LAC
"Congo, Dem. Rep.",COD,Diesel,0.035692943641300726,0.27676287924028886,0.045454545454545456,1.36503855582046,111,Regulated,SSA
Ecuador,ECU,Diesel,0.01853477733292124,0.26071160439747515,0.0,0.35998952943056883,113,Deregulated,LAC
"Egypt, Arab Rep.",EGY,Diesel,0.09144115618973574,0.3233725771737924,0.1,0.30290562295827245,111,Regulated,MENA
El Salvador,SLV,Diesel,0.05260042816569783,0.1974748984883743,0.06315789473684211,0.8710710626090994,96,Regulated,LAC
Equatorial Guinea,GNQ,Diesel,0.03500596037169356,0.11374094106498105,0.010526315789473684,0.6670084556679372,96,Regulated,SSA
Estonia,EST,Diesel,0.04248217606452359,0.15930235748387983,0.02702702702702703,1.4994758572314664,112,Deregulated,ECA
Ethiopia,ETH,Diesel,0.08175693148161678,0.39567436465688854,0.09278350515463918,0.7810752494358463,98,Regulated,SSA
Fiji,FJI,Diesel,0.05400201461168793,0.22456723684660188,0.07207207207207207,0.9366320947834915,112,Regulated,EAP
Finland,FIN,Diesel,0.037855280646326914,0.17589899658770394,0.018018018018018018,1.721847065070732,112,Deregulated,ECA
France,FRA,Diesel,0.039903199816594716,0.1533282333122173,0.02702702702702703,1.6400884376621865,112,Deregulated,ECA
