Province ,BE_Year,LPG,Low Speed Diesel (LSD),High Speed Diesel (HSD)/Biodiesel,Gasoline 91,Gasoline 95,Gasohol 91,Gasohol 95
Rayong,2559,"13,527,837",0,0,0,0,0,0
Rayong,2560,"14,872,466",0,0,0,0,0,0
Phuket,2559,"9,554,106",0,0,0,0,0,0
Phuket,2560,"9,444,509",0,0,0,0,0,0
Nan,2559,"5,151,014",0,0,0,0,0,0
Nan,2560,"5,178,746",0,0,0,0,0,0
Nakhonphanom,2559,"4,638,788",0,0,0,0,0,0
Nakhonphanom,2560,"5,457,691",0,0,0,0,0,0
Lampang,2559,"17,665,465",0,0,0,0,0,0
Lampang,2560,"16,730,879",0,0,0,0,0,0
Phayao,2559,"5,311,057",0,0,0,0,0,0
Phayao,2560,"5,380,564",0,0,0,0,0,0
Samut Prakan,2559,"14,364,535",0,0,0,0,0,0
Samut Prakan,2560,"17,213,660",0,0,0,0,0,0
Surat Thani,2559,"29,568,088",0,0,0,0,0,0
Surat Thani,2560,"29,871,326",0,0,0,0,0,0
Nong Bua Lamphu,2559,"4,895,789",0,0,0,0,0,0
Nong Bua Lamphu,2560,"5,422,471",0,0,0,0,0,0
Sakon Nakhon,2559,"17,031,892",0,0,0,0,0,0
Sakon Nakhon,2560,"19,177,804",0,0,0,0,0,0
Chaiyaphum,2559,"14,185,322",0,0,0,0,0,0
Chaiyaphum,2560,"16,125,390",0,0,0,0,0,0
Kamphaeng Phet,2559,"6,042,116",0,0,0,0,0,0
Kamphaeng Phet,2560,"5,933,035",0,0,0,0,0,0
Phitsanulok,2559,"10,077,151",0,0,0,0,0,0
Phitsanulok,2560,"10,028,155",0,0,0,0,0,0
Samut Songkhram,2559,"3,422,883",0,0,0,0,0,0
Samut Songkhram,2560,"3,791,602",0,0,0,0,0,0
Krabi,2559,"9,477,779",0,0,0,0,0,0
Krabi,2560,"9,974,015",0,0,0,0,0,0
Chumphon,2559,"9,073,635",0,0,0,0,0,0
Chumphon,2560,"9,226,378",0,0,0,0,0,0
Bungkan,2559,"2,501,351",0,0,0,0,0,0
Bungkan,2560,"2,846,786",0,0,0,0,0,0
Burirum,2559,"2,501,351",0,0,0,0,0,0
Burirum,2560,"2,846,786",0,0,0,0,0,0
Phattalung,2559,"5,767,220",0,0,0,0,0,0
Phattalung,2560,"6,162,392",0,0,0,0,0,0
Prachinburi,2559,"6,764,662",0,0,0,0,0,0
Prachinburi,2560,"7,255,148",0,0,0,0,0,0
Udtradit,2559,"6,608,769",0,0,0,0,0,0
Udtradit,2560,"6,743,911",0,0,0,0,0,0
Lamphun,2559,"7,594,114",0,0,0,0,0,0
Lamphun,2560,"6,743,911",0,0,0,0,0,0
Phichit,2559,"6,535,844",0,0,0,0,0,0
Phichit,2560,"6,933,410",0,0,0,0,0,0
Sa Kaeo,2559,"1,451,061",0,0,0,0,0,0
Sa Kaeo,2560,"1,834,617",0,0,0,0,0,0
Samut Sakhon,2559,"35,741,563",0,0,0,0,0,0
Samut Sakhon,2560,"39,250,834",0,0,0,0,0,0
Songkhla,2559,"27,053,451",0,0,0,0,0,0
Songkhla,2560,"26,606,694",0,0,0,0,0,0
Yasothon,2559,"4,965,335",0,0,0,0,0,0
Yasothon,2560,"4,950,739",0,0,0,0,0,0
Kanchanaburi,2559,"6,187,020",0,0,0,0,0,0
Kanchanaburi,2560,"7,051,573",0,0,0,0,0,0
Kalasin,2559,"11,068,014",0,0,0,0,0,0
Kalasin,2560,"12,932,808",0,0,0,0,0,0
Chachoengsao,2559,"13,134,072",0,0,0,0,0,0
Chachoengsao,2560,"15,589,521",0,0,0,0,0,0
Chonburi,2559,"28,704,957",0,0,0,0,0,0
Chonburi,2560,"30,439,390",0,0,0,0,0,0
Chainat,2559,"3,067,299",0,0,0,0,0,0
Chainat,2560,"3,326,329",0,0,0,0,0,0
Chiang Rai,2559,"20,412,441",0,0,0,0,0,0
Chiang Rai,2560,"19,336,538",0,0,0,0,0,0
Trat,2559,"1,812,863",0,0,0,0,0,0
Trat,2560,"2,027,240",0,0,0,0,0,0
Trang,2559,"12,166,617",0,0,0,0,0,0
Trang,2560,"12,040,440",0,0,0,0,0,0
Tak,2559,"8,411,952",0,0,0,0,0,0
Tak,2560,"8,595,847",0,0,0,0,0,0
Nakornnayok,2559,"2,132,284",0,0,0,0,0,0
Nakornnayok,2560,"2,332,861",0,0,0,0,0,0
Nakhon Si Thammarat,2559,"17,740,890",0,0,0,0,0,0
Nakhon Si Thammarat,2560,"17,292,169",0,0,0,0,0,0
Nakhon Pathom,2559,"16,419,865",0,0,0,0,0,0
Nakhon Pathom,2560,"18,035,113",0,0,0,0,0,0
Nakhon Ratchasima,2559,"53,694,906",0,0,0,0,0,0
Nakhon Ratchasima,2560,"58,334,137",0,0,0,0,0,0
Narathiwat,2559,"5,764,036",0,0,0,0,0,0
Narathiwat,2560,"5,934,106",0,0,0,0,0,0
Pathum Thani,2559,"7,313,205",0,0,0,0,0,0
Pathum Thani,2560,"8,795,554",0,0,0,0,0,0
Phangnga,2559,"14,015,293",0,0,0,0,0,0
Phangnga,2560,"14,149,498",0,0,0,0,0,0
Pattani,2559,"3,176,464",0,0,0,0,0,0
Pattani,2560,"3,125,906",0,0,0,0,0,0
Phra Nakorn Si Ayuttaya,2559,"12,683,484",0,0,0,0,0,0
Phra Nakorn Si Ayuttaya,2560,"14,278,363",0,0,0,0,0,0
Phetchabun,2559,"9,116,271",0,0,0,0,0,0
Phetchabun,2560,"9,729,866",0,0,0,0,0,0
Phetchaburi,2559,"4,521,668",0,0,0,0,0,0
Phetchaburi,2560,"5,007,100",0,0,0,0,0,0
Maha Sarakam,2559,"8,941,666",0,0,0,0,0,0
Maha Sarakam,2560,"9,671,897",0,0,0,0,0,0
Phare,2559,"5,687,438",0,0,0,0,0,0
Phare,2560,"5,676,920",0,0,0,0,0,0
Yala,2559,"11,091,874",0,0,0,0,0,0
Yala,2560,"11,734,607",0,0,0,0,0,0
Roi-Et,2559,"6,107,324",0,0,0,0,0,0
Roi-Et,2560,"6,239,923",0,0,0,0,0,0
Mae Hong Son,2559,"515,284",0,0,0,0,0,0
Mae Hong Son,2560,"502,390",0,0,0,0,0,0
Ranong,2559,"3,074,265",0,0,0,0,0,0
Ranong,2560,"2,502,853",0,0,0,0,0,0
Loei,2559,"10,140,012",0,0,0,0,0,0
Loei,2560,"11,141,521",0,0,0,0,0,0
Ratchaburi,2559,"6,087,612",0,0,0,0,0,0
Ratchaburi,2560,"6,792,051",0,0,0,0,0,0
Sisaket,2559,"14,007,840",0,0,0,0,0,0
Sisaket,2560,"15,061,639",0,0,0,0,0,0
Saraburi,2559,"6,378,122",0,0,0,0,0,0
Saraburi,2560,"7,313,985",0,0,0,0,0,0
Sukhothai,2559,"7,114,253",0,0,0,0,0,0
Sukhothai,2560,"8,039,526",0,0,0,0,0,0
Suphanburi,2559,"7,644,918",0,0,0,0,0,0
Suphanburi,2560,"8,449,373",0,0,0,0,0,0
Surin,2559,"14,834,963",0,0,0,0,0,0
Surin,2560,"15,573,715",0,0,0,0,0,0
Nong Khai,2559,"9,547,439",0,0,0,0,0,0
Nong Khai,2560,"9,005,194",0,0,0,0,0,0
Angthong,2559,"2,848,813",0,0,0,0,0,0
Angthong,2560,"3,492,798",0,0,0,0,0,0
Udon Thani,2559,"19,607,318",0,0,0,0,0,0
Udon Thani,2560,"21,494,871",0,0,0,0,0,0
Uthai Thani,2559,"840,116",0,0,0,0,0,0
Uthai Thani,2560,"970,206",0,0,0,0,0,0
Ubon Ratchathani,2559,"16,485,909",0,0,0,0,0,0
Ubon Ratchathani,2560,"19,672,425",0,0,0,0,0,0
Amnat Charoen,2559,"4,085,201",0,0,0,0,0,0
Amnat Charoen,2560,"4,276,954",0,0,0,0,0,0
