Sector,Province ,BE_Year,LPG,Low Speed Diesel (LSD),High Speed Diesel (HSD)/Biodiesel,Fuel oil,Gasoline 91,Gasoline 95,Gasohol 91,Gasohol 95,Natural gas
Transportation,Rayong,2559,26424320,0,359924718.6,80117872.14,0,8010070,70173572,63108333.65,1888000000
Transportation,Rayong,2560,24119685,0,389367090.2,108395475.6,0,7012034,67009455.48,69289476.16,1666000000
Transportation,Phuket,2559,"7,859,446",0,"171,695,377",0,0,"1,833,778","112,060,480","46,975,200",0
Transportation,Phuket,2560,"7,122,341",0,"176,354,061",0,0,"1,596,309","107,313,409","48,496,738",0
Transportation,Nan,2559,"1,355,190",0,"57,881,751",0,0,"2,414,801","10,716,394","15,819,740","73,000,000"
Transportation,Nan,2560,"1,156,110",0,"53,230,307",0,0,"1,936,380","9,370,073","16,395,166","66,000,000"
Transportation,Nakhonphanom,2559,"5,921,790",0,"64,823,273",0,0,"734,580","14,650,110","9,766,050",0
Transportation,Nakhonphanom,2560,"6,433,110",0,"70,547,436",0,0,"672,260","13,845,670","10,553,632",0
Transportation,Lampang,2559,"6,617,080",0,"182,076,852",0,0,"8,093,430","44,410,918","35,744,946","594,000,000"
Transportation,Lampang,2560,"5,531,748",0,"227,375,021","60,000",0,"7,009,030","42,270,447","38,154,603","536,000,000"
Transportation,Phayao,2559,"2,232,610",0,"48,480,358",0,0,"2,286,890","14,027,637","7,911,390","108,000,000"
Transportation,Phayao,2560,"1,857,938",0,"42,741,158",0,0,"1,794,070","12,125,505","7,642,222","92,000,000"
Transportation,Samut Prakan,2559,"57,146,501",0,"632,103,670","5,390,944","50,134,000","11,138,034","127,879,530","112,338,860","7,238,000,000"
Transportation,Samut Prakan,2560,"50,737,980",0,"710,749,726","7,616,668","377,692","8,667,616","119,578,169","125,743,581","7,058,000,000"
Transportation,Surat Thani,2559,"11,760,004",0,"580,886,446","3,608,051",0,"14,801,241","78,388,081","95,866,693","478,000,000"
Transportation,Surat Thani,2560,"10,320,869",0,"641,096,638","4,218,544",0,"14,331,621","73,843,965","103,759,708","362,000,000"
Transportation,Nong Bua Lamphu,2559,"1,597,600",0,"64,314,381",0,0,"395,990","6,920,730","4,107,890",0
Transportation,Nong Bua Lamphu,2560,"1,427,050",0,"40,202,785",0,0,"236,170","6,562,790","4,364,810",0
Transportation,Sakon Nakhon,2559,"6,361,350",0,"110,862,990",0,0,"584,067","25,933,381","20,676,707",0
