ตาราง 1.2 : สัดส่วนคนจนเมื่อวัดด้านรายจ่ายเพื่อการอุปโภคบริโภค จำแนกตามภาคและพื้นที่ ปี 2531-2567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(หน่วย : ร้อยละ)
ภาค,เขตพื้นที่,2531,2533,2535,2537,2539,2541,2543,2545,2547,2549,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565,2566,2567
กรุงเทพมหานคร,ในเขตเทศบาล,  24.72 ,  24.47 ,  11.30 ,  9.18 ,  4.21 ,  5.45 ,  5.86 ,  6.35 ,  4.07 ,  2.88 ,  3.51 ,  2.33 ,  2.36 ,  2.25 ,  7.74 ,  1.91 ,  1.13 ,  1.64 ,  2.01 ,  1.36 ,  1.12 ,  0.99 ,  0.58 ,  0.49 ,  0.57 ,  1.37 ,  0.42 ,  0.77 
,รวม,  24.72 ,  24.47 ,  11.30 ,  9.18 ,  4.21 ,  5.45 ,  5.86 ,  6.35 ,  4.07 ,  2.88 ,  3.51 ,  2.33 ,  2.36 ,  2.25 ,  7.74 ,  1.91 ,  1.13 ,  1.64 ,  2.01 ,  1.36 ,  1.12 ,  0.99 ,  0.58 ,  0.49 ,  0.57 ,  1.37 ,  0.42 ,  0.77 
กลาง,ในเขตเทศบาล,  53.38 ,  42.42 ,  25.45 ,  24.76 ,  18.47 ,  18.68 ,  19.78 ,  14.38 ,  12.95 ,  8.76 ,  8.37 ,  7.97 ,  7.08 ,  7.00 ,  7.42 ,  4.72 ,  3.90 ,  3.57 ,  3.22 ,  3.97 ,  3.93 ,  4.29 ,  3.77 ,  3.09 ,  3.17 ,  2.26 ,  1.78 ,  2.49 
,นอกเขตเทศบาล,  67.89 ,  56.07 ,  49.82 ,  41.28 ,  30.17 ,  31.84 ,  33.49 ,  28.66 ,  22.52 ,  15.70 ,  14.92 ,  16.54 ,  14.47 ,  13.92 ,  12.92 ,  8.98 ,  6.63 ,  6.09 ,  5.21 ,  6.14 ,  4.81 ,  5.71 ,  4.74 ,  3.42 ,  2.97 ,  3.11 ,  2.49 ,  3.11 
,รวม,  63.49 ,  51.79 ,  42.04 ,  35.91 ,  26.30 ,  27.40 ,  28.75 ,  23.42 ,  18.80 ,  12.85 ,  12.15 ,  12.83 ,  11.18 ,  10.77 ,  10.36 ,  6.96 ,  5.31 ,  4.85 ,  4.22 ,  5.04 ,  4.35 ,  4.97 ,  4.22 ,  3.24 ,  3.08 ,  2.64 ,  2.09 ,  2.76 
เหนือ,ในเขตเทศบาล,  59.39 ,  46.62 ,  39.97 ,  39.63 ,  35.84 ,  35.23 ,  39.66 ,  32.01 ,  24.59 ,  19.06 ,  20.01 ,  21.26 ,  17.45 ,  15.16 ,  11.32 ,  15.69 ,  15.18 ,  10.41 ,  7.59 ,  9.47 ,  8.04 ,  8.71 ,  5.28 ,  6.25 ,  6.67 ,  5.22 ,  3.15 ,  6.27 
,นอกเขตเทศบาล,  70.98 ,  61.42 ,  57.75 ,  47.32 ,  41.37 ,  39.69 ,  51.53 ,  43.72 ,  36.28 ,  28.90 ,  28.53 ,  32.61 ,  26.30 ,  26.13 ,  18.79 ,  18.58 ,  17.90 ,  15.31 ,  9.75 ,  10.38 ,  11.43 ,  12.53 ,  8.15 ,  7.40 ,  6.87 ,  8.50 ,  4.19 ,  5.15 
,รวม,  68.64 ,  58.36 ,  54.09 ,  45.74 ,  40.24 ,  38.78 ,  49.08 ,  41.03 ,  33.29 ,  26.11 ,  25.99 ,  29.05 ,  23.38 ,  22.33 ,  16.09 ,  17.49 ,  16.83 ,  13.31 ,  8.84 ,  9.98 ,  9.90 ,  10.74 ,  6.78 ,  6.84 ,  6.77 ,  6.80 ,  3.64 ,  5.75 
