ตาราง 1.8 : ตัวชี้วัดความยากจนและการกระจายรายได้ ทั่วราชอาณาจักร ปี 2531-2567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ตัวชี้วัด,2531,2533,2535,2537,2539,2541,2543,2545,2547,2549,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565,2566,2567
ช่องว่างความยากจน,  23.70 ,  18.99 ,  15.70 ,  11.41 ,  8.68 ,  9.66 ,  11.46 ,  7.80 ,  6.12 ,  4.83 ,  4.17 ,  4.04 ,  3.51 ,  3.24 ,  2.42 ,  2.38 ,  1.93 ,  1.85 ,  1.14 ,  1.42 ,  1.27 ,  1.37 ,  0.96 ,  1.09 ,  0.97 ,  0.79 ,  0.39 ,  0.68 
ความรุนแรงปัญหาความยากจน,  10.90 ,  8.11 ,  6.51 ,  4.28 ,  3.06 ,  3.41 ,  4.27 ,  2.69 ,  2.03 ,  1.59 ,  1.31 ,  1.22 ,  1.06 ,  0.97 ,  0.70 ,  0.70 ,  0.54 ,  0.51 ,  0.30 ,  0.38 ,  0.33 ,  0.37 ,  0.26 ,  0.28 ,  0.24 ,  0.19 ,  0.08 ,  0.15 
เส้นความยากจน (บาท/คน/เดือน),  879 ,  960 ,"  1,086 ","  1,157 ","  1,306 ","  1,533 ","  1,555 ","  1,606 ","  1,719 ","  1,934 ","  2,006 ","  2,172 ","  2,174 ","  2,285 ","  2,415 ","  2,492 ","  2,572 ","  2,648 ","  2,645 ","  2,668 ","  2,689 ","  2,714 ","  2,763 ","  2,762 ","  2,803 ","  2,997 ","  3,043 ","  3,078 "
สัดส่วนคนจน (ร้อยละ),  65.17 ,  57.97 ,  50.04 ,  42.54 ,  35.25 ,  38.63 ,  42.33 ,  32.44 ,  26.76 ,  21.94 ,  20.04 ,  20.43 ,  17.88 ,  16.37 ,  13.22 ,  12.65 ,  10.96 ,  10.52 ,  7.19 ,  8.60 ,  7.83 ,  8.30 ,  6.26 ,  6.83 ,  6.32 ,  5.43 ,  3.41 ,  4.89 
จำนวนคนจน (ล้านคน),  34.1 ,  31.6 ,  27.8 ,  24.1 ,  20.3 ,  22.7 ,  25.8 ,  19.9 ,  16.5 ,  13.8 ,  12.7 ,  13.1 ,  11.6 ,  10.8 ,  8.8 ,  8.4 ,  7.4 ,  7.1 ,  4.9 ,  5.9 ,  5.4 ,  5.7 ,  4.3 ,  4.7 ,  4.4 ,  3.8 ,  2.4 ,  3.4 
สัดส่วนครัวเรือนยากจน(ร้อยละ),  61.41 ,  55.12 ,  46.60 ,  39.03 ,  32.15 ,  34.75 ,  38.48 ,  29.31 ,  24.29 ,  19.92 ,  18.26 ,  18.54 ,  15.81 ,  14.50 ,  11.64 ,  10.75 ,  9.26 ,  9.09 ,  6.05 ,  7.31 ,  6.31 ,  7.10 ,  5.05 ,  5.51 ,  4.79 ,  4.14 ,  2.56 ,  3.68 
จำนวนครัวเรือนยากจน (พันครัวเรือน),"  8,021 ","  7,348 ","  6,683 ","  5,877 ","  5,068 ","  5,491 ","  6,521 ","  5,145 ","  4,404 ","  3,793 ","  3,540 ","  3,620 ","  3,170 ","  3,010 ","  2,486 ","  2,354 ","  2,107 ","  2,080 ","  1,446 ","  1,747 ","  1,546 ","  1,753 ","  1,307 ","  1,401 ","  1,238 ","  1,118 ",  686 ,"  1,027 "
"สัมประสิทธิ์ความไม่เสมอภาค 
(Gini coefficient) ของรายได้",  0.487 ,  0.515 ,  0.536 ,  0.520 ,  0.513 ,  0.507 ,  0.522 ,  0.508 ,  0.493 ,  0.514 ,  0.499 , na. ,  0.490 , na. ,  0.484 ,  na.  ,  0.465 ,  na.  ,  0.445 ,  na.  ,  0.453 ,  na.  ,  0.429 ,  na.  ,  0.430 ,  na.  ,  0.417 ,  na.  
สัมประสิทธิ์ความไม่เสมอภาค (Gini coefficient) ของรายจ่ายเพื่อการอุปโภคบริโภค,  0.439 ,  0.443 ,  0.450 ,  0.438 ,  0.431 ,  0.409 ,  0.428 ,  0.419 ,  0.425 ,  0.420 ,  0.398 ,  0.405 ,  0.398 ,  0.396 ,  0.375 ,  0.392 ,  0.378 ,  0.371 ,  0.359 ,  0.367 ,  0.364 ,  0.363 ,  0.348 ,  0.350 ,  0.350 ,  0.343 ,  0.335 ,  0.333 
ความเหลื่อมล้ำในรายได้กลุ่มรวยสุด 20% สุดท้ายต่อกลุ่มจนสุด 20% แรก (เท่า),  11.88 ,  13.28 ,  14.90 ,  14.07 ,  13.52 ,  13.06 ,  14.54 ,  13.37 ,  12.22 ,  14.83 ,  13.06 , na. ,  12.30 , na. ,  11.81 ,  na.  ,  12.61 ,  na.  ,  10.32 ,  na.  ,  10.18 ,  na.  ,  8.88 ,  na.  ,  8.95 ,  na.  ,  8.13 ,  na.  
ความเหลื่อมล้ำในรายจ่ายเพื่อการอุปโภคบริโภคกลุ่มรายจ่ายมากสุด 20% สุดท้าย ต่อกลุ่มรายจ่ายน้อยสุด 20% แรก (เท่า),  8.33 ,  8.54 ,  8.99 ,  8.36 ,  8.21 ,  7.40 ,  8.07 ,  7.79 ,  8.06 ,  8.11 ,  7.21 ,  7.41 ,  7.18 ,  7.09 ,  6.26 ,  6.97 ,  6.51 ,  6.30 ,  5.84 ,  6.13 ,  6.09 ,  6.08 ,  5.59 ,  5.72 ,  5.70 ,  5.52 ,  5.26 ,  5.27 
ประชากรทั่วประเทศ (ล้านคน),  52.4 ,  54.5 ,  55.6 ,  56.6 ,  57.6 ,  58.7 ,  60.9 ,  61.2 ,  61.8 ,  62.8 ,  63.5 ,  64.2 ,  65.0 ,  66.0 ,  66.2 ,  66.7 ,  67.2 ,  67.6 ,  68.0 ,  68.2 ,  68.9 ,  69.1 ,  69.3 ,  69.5 ,  69.7 ,  69.9 ,  70.0 ,  70.2 
จำนวนครัวเรือนทั้งหมด (พันครัวเรือน),"  13,061 ","  13,332 ","  14,341 ","  15,059 ","  15,760 ","  15,801 ","  16,948 ","  17,551 ","  18,133 ","  19,043 ","  19,384 ","  19,526 ","  20,058 ","  20,764 ","  21,346 ","  21,906 ","  22,744 ","  22,891 ","  23,910 ","  23,897 ","  24,503 ","  24,707 ","  25,889 ","  25,440 ","  25,818 ","  27,004 ","  26,863 ","  27,878 "
"ที่มา : ข้อมูลจากการสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน สำนักงานสถิติแห่งชาติ, ประมวลผลโดย กองพัฒนาข้อมูลและตัวชี้วัดสังคม  สศช. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
       :  ตั้งแต่ปี 2549 เป็นต้นไป ข้อมูลการสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน มีการบันทึกข้อมูลรายได้ติดลบหรือขาดทุน,,,,,,,,,,,,,,,,,,,,,,,,,,,,
